SYMBOL,NAME OF COMPANY,SECTOR
NBIFIN,N. B. I. Industrial Finance Company Limited,Financial Services
NCC,NCC Limited,Industrial / Diversified
NCLIND,NCL Industries Limited,Industrial / Diversified
NDGL,Naga Dhunseri Group Limited,Industrial / Diversified
NDL,Nandan Denim Limited,Industrial / Diversified
NDLVENTURE,NDL Ventures Limited,Industrial / Diversified
NDRAUTO,Ndr Auto Components Limited,Automobile & Auto Components
NDTV,New Delhi Television Limited,Media & Entertainment
NECCLTD,North Eastern Carrying Corporation Limited,Industrial / Diversified
NECLIFE,Nectar Lifesciences Limited,Healthcare / Pharmaceuticals
NELCAST,Nelcast Limited,Industrial / Diversified
NELCO,NELCO Limited,Industrial / Diversified
NEOGEN,Neogen Chemicals Limited,Chemicals
NEPHROPLUS,Nephrocare Health Services Limited,Healthcare / Pharmaceuticals
NESCO,Nesco Limited,Industrial / Diversified
NESTLEIND,Nestle India Limited,Industrial / Diversified
NETWEB,Netweb Technologies India Limited,Information Technology
NETWORK18,Network18 Media & Investments Limited,Media & Entertainment
NEULANDLAB,Neuland Laboratories Limited,Healthcare / Pharmaceuticals
NEWGEN,Newgen Software Technologies Limited,Information Technology
NEXTMEDIA,Next Mediaworks Limited,Media & Entertainment
NFL,National Fertilizers Limited,Chemicals
NGIL,Nakoda Group of Industries Limited,Industrial / Diversified
NGLFINE,NGL Fine-Chem Limited,Chemicals
NH,Narayana Hrudayalaya Ltd.,Industrial / Diversified
NHPC,NHPC Limited,Industrial / Diversified
NIACL,The New India Assurance Company Limited,Industrial / Diversified
NIBE,NIBE Limited,Industrial / Diversified
NIBL,NRB Industrial Bearings Limited,Automobile & Auto Components
NIITLTD,NIIT Limited,Industrial / Diversified
NIITMTS,NIIT Learning Systems Limited,Information Technology
NILAINFRA,Nila Infrastructures Limited,Industrial / Diversified
NILASPACES,Nila Spaces Limited,Industrial / Diversified
NILKAMAL,Nilkamal Limited,Industrial / Diversified
NINSYS,NINtec Systems Limited,Information Technology
NIPPOBATRY,Indo-National Limited,Industrial / Diversified
NIRAJ,Niraj Cement Structurals Limited,Chemicals
NIRAJISPAT,Niraj Ispat Industries Limited,Industrial / Diversified
NITCO,Nitco Limited,Industrial / Diversified
NITINSPIN,Nitin Spinners Limited,Textiles & Apparel
NITIRAJ,Nitiraj Engineers Limited,Industrial / Diversified
NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services
NKIND,NK Industries Limited,Industrial / Diversified
NLCINDIA,NLC India Limited,Industrial / Diversified
NMDC,NMDC Limited,Industrial / Diversified
NOCIL,NOCIL Limited,Industrial / Diversified
NOIDATOLL,Noida Toll Bridge Company Limited,Industrial / Diversified
NORBTEAEXP,Norben Tea & Exports Limited,Industrial / Diversified
NORTHARC,Northern Arc Capital Limited,Financial Services
NOVAAGRI,Nova Agritech Limited,Information Technology
NPST,Network People Services Technologies Limited,Information Technology
NRAIL,N R Agarwal Industries Limited,Industrial / Diversified
NRBBEARING,NRB Bearing Limited,Automobile & Auto Components
NRL,Nupur Recyclers Limited,Industrial / Diversified
NSIL,Nalwa Sons Investments Limited,Industrial / Diversified
NSLNISP,NMDC Steel Limited,Metals & Mining
NTPC,NTPC Limited,Industrial / Diversified
NTPCGREEN,NTPC Green Energy Limited,Energy & Power
NUCLEUS,Nucleus Software Exports Limited,Information Technology
NURECA,Nureca Limited,Industrial / Diversified
NUVAMA,Nuvama Wealth Management Limited,Financial Services
NUVOCO,Nuvoco Vistas Corporation Limited,Industrial / Diversified
NYKAA,FSN E-Commerce Ventures Limited,Industrial / Diversified
OAL,Oriental Aromatics Limited,Chemicals
OBCL,Orissa Bengal Carrier Limited,Logistics
OBEROIRLTY,Oberoi Realty Limited,Real Estate
OCCLLTD,OCCL Limited,Industrial / Diversified
ODIGMA,Odigma Consultancy Solutions Limited,Industrial / Diversified
OFSS,Oracle Financial Services Software Limited,Financial Services
OIL,Oil India Limited,Industrial / Diversified
OILCOUNTUB,Oil Country Tubular Limited,Industrial / Diversified
OLAELEC,Ola Electric Mobility Limited,Industrial / Diversified
OLECTRA,Olectra Greentech Limited,Information Technology
OMAXAUTO,Omax Autos Limited,Automobile & Auto Components
OMAXE,Omaxe Limited,Industrial / Diversified
OMFREIGHT,Om Freight Forwarders Limited,Logistics
OMINFRAL,OM INFRA LIMITED,Industrial / Diversified
OMKARCHEM,Omkar Speciality Chemicals Limited,Chemicals
ONELIFECAP,Onelife Capital Advisors Limited,Financial Services
ONEPOINT,One Point One Solutions Limited,Industrial / Diversified
ONESOURCE,Onesource Specialty Pharma Limited,Healthcare / Pharmaceuticals
ONGC,Oil & Natural Gas Corporation Limited,Energy & Power
ONMOBILE,OnMobile Global Limited,Industrial / Diversified
ONWARDTEC,Onward Technologies Limited,Information Technology
OPTIEMUS,Optiemus Infracom Limited,Industrial / Diversified
ORBTEXP,Orbit Exports Limited,Industrial / Diversified
ORCHASP,Orchasp Limited,Industrial / Diversified
ORCHPHARMA,Orchid Pharma Limited,Healthcare / Pharmaceuticals
ORICONENT,Oricon Enterprises Limited,Industrial / Diversified
ORIENTALTL,Oriental Trimex Limited,Industrial / Diversified
ORIENTBELL,Orient Bell Limited,Industrial / Diversified
ORIENTCEM,Orient Cement Limited,Chemicals
ORIENTCER,ORIENT CERATECH LIMITED,Information Technology
ORIENTELEC,Orient Electric Limited,Industrial / Diversified
ORIENTHOT,Oriental Hotels Limited,Industrial / Diversified
ORIENTLTD,Orient Press Limited,Industrial / Diversified
ORIENTPPR,Orient Paper & Industries Limited,Industrial / Diversified
ORIENTTECH,Orient Technologies Limited,Information Technology
ORISSAMINE,The Orissa Minerals Development Company Limited,Metals & Mining
ORKLAINDIA,Orkla India Limited,Industrial / Diversified
ORTEL,Ortel Communications Limited,Industrial / Diversified
ORTINGLOBE,ORTIN GLOBAL LIMITED,Industrial / Diversified
OSIAHYPER,Osia Hyper Retail Limited,Industrial / Diversified
OSWALAGRO,Oswal Agro Mills Limited,Food & Agriculture
OSWALGREEN,Oswal Greentech Limited,Information Technology
OSWALPUMPS,Oswal Pumps Limited,Industrial / Diversified
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Chemicals
PACEDIGITK,Pace Digitek Limited,Industrial / Diversified
PAGEIND,Page Industries Limited,Industrial / Diversified
PAISALO,Paisalo Digital Limited,Information Technology
PAKKA,PAKKA LIMITED,Industrial / Diversified
PALASHSECU,Palash Securities Limited,Financial Services
PALREDTEC,Palred Technologies Limited,Information Technology
PANACEABIO,Panacea Biotec Limited,Industrial / Diversified
PANACHE,Panache Digilife Limited,Healthcare / Pharmaceuticals
PANAMAPET,Panama Petrochem Limited,Chemicals
PANSARI,Pansari Developers Limited,Real Estate
PAR,Par Drugs And Chemicals Limited,Chemicals
PARACABLES,Paramount Communications Limited,Industrial / Diversified
PARADEEP,Paradeep Phosphates Limited,Industrial / Diversified
PARAGMILK,Parag Milk Foods Limited,Food & Agriculture
PARAS,Paras Defence and Space Technologies Limited,Information Technology
PARASPETRO,Paras Petrofils Limited,Chemicals
PARKHOSPS,Park Medi World Limited,Industrial / Diversified
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Industrial / Diversified
PARSVNATH,Parsvnath Developers Limited,Real Estate
PASHUPATI,Pashupati Cotspin Limited,Textiles & Apparel
PASUPTAC,Pasupati Acrylon Limited,Industrial / Diversified
PATANJALI,Patanjali Foods Limited,Food & Agriculture
PATELENG,Patel Engineering Limited,Industrial / Diversified
PATELRMART,Patel Retail Limited,Industrial / Diversified
PATINTLOG,Patel Integrated Logistics Limited,Logistics
PAUSHAKLTD,Paushak Limited,Industrial / Diversified
PAVNAIND,Pavna Industries Limited,Industrial / Diversified
PAYTM,One 97 Communications Limited,Industrial / Diversified
PCBL,PCBL Chemical Limited,Chemicals
PCJEWELLER,PC Jeweller Limited,Industrial / Diversified
PDMJEPAPER,Pudumjee Paper Products Limited,Industrial / Diversified
PDSL,PDS Limited,Industrial / Diversified
PEARLPOLY,Pearl Polymers Limited,Industrial / Diversified
PENIND,Pennar Industries Limited,Industrial / Diversified
PENINLAND,Peninsula Land Limited,Real Estate
PERSISTENT,Persistent Systems Limited,Information Technology
PETRONET,Petronet LNG Limited,Chemicals
PFC,Power Finance Corporation Limited,Financial Services
PFIZER,Pfizer Limited,Industrial / Diversified
PFOCUS,Prime Focus Limited,Industrial / Diversified
PFS,PTC India Financial Services Limited,Financial Services
PGEL,PG Electroplast Limited,Industrial / Diversified
PGHH,Procter & Gamble Hygiene and Health Care Limited,Healthcare / Pharmaceuticals
PGHL,Procter & Gamble Health Limited,Healthcare / Pharmaceuticals
PGIL,Pearl Global Industries Limited,Industrial / Diversified
PHOENIXLTD,The Phoenix Mills Limited,Industrial / Diversified
PICCADIL,Piccadily Agro Industries Limited,Food & Agriculture
PIDILITIND,Pidilite Industries Limited,Industrial / Diversified
PIGL,Power & Instrumentation (Gujarat) Limited,Energy & Power
PIIND,PI Industries Limited,Industrial / Diversified
PILANIINVS,Pilani Investment and Industries Corporation Limited,Holding Company / Finance
PILITA,PIL ITALICA LIFESTYLE LIMITED,Plastic Products (Furniture)
PINELABS,Pine Labs Limited,FinTech / Payments
PIONEEREMB,Pioneer Embroideries Limited,Textiles
PIRAMALFIN,Piramal Finance Limited,Finance / NBFC
PITTIENG,Pitti Engineering Limited,Engineering
PIXTRANS,Pix Transmissions Limited,Auto Ancillaries (Belts)
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Plantation (Tea/Coffee)
PLASTIBLEN,Plastiblends India Limited,Chemicals (Plastic Masterbatches)
PLATIND,Platinum Industries Limited,Chemicals (Stabilizers)
PLAZACABLE,Plaza Wires Limited,Consumer Durables (Cables/Wires)
PNB,Punjab National Bank,Banking (Public Sector)
PNBGILTS,PNB Gilts Limited,Finance / Broking
PNBHOUSING,PNB Housing Finance Limited,Finance (Housing)
PNC,Pritish Nandy Communications Limited,Media & Entertainment
PNCINFRA,PNC Infratech Limited,Infrastructure / Construction
PNGJL,P N Gadgil Jewellers Limited,Gems & Jewellery
POCL,Pondy Oxides & Chemicals Limited,Chemicals (Lead Smelting)
PODDARMENT,Poddar Pigments Limited,Chemicals (Pigments)
POKARNA,Pokarna Limited,Building Materials (Granite/Quartz)
POLICYBZR,PB Fintech Limited,FinTech / Insurance
POLYCAB,Polycab India Limited,Consumer Durables (Cables/Electricals)
POLYMED,Poly Medicure Limited,Healthcare (Medical Devices)
POLYPLEX,Polyplex Corporation Limited,Packaging (BOPET Films)
PONNIERODE,Ponni Sugars (Erode) Limited,FMCG (Sugar)
POONAWALLA,Poonawalla Fincorp Limited,Finance / NBFC
POWERGRID,Power Grid Corporation of India Limited,Power (Transmission)
POWERINDIA,Hitachi Energy India Limited,Capital Goods (Power Systems)
POWERMECH,Power Mech Projects Limited,Infrastructure / Engineering
PPAP,PPAP Automotive Limited,Auto Ancillaries
PPL,Prakash Pipes Limited,Plastic Products (Pipes)
PPLPHARMA,Piramal Pharma Limited,Pharmaceuticals
PRABHA,Prabha Energy Limited,Energy (Oil & Gas)
PRAENG,Prajay Engineers Syndicate Limited,Real Estate / Construction
PRAJIND,Praj Industries Limited,Engineering (Bio-energy)
PRAKASH,Prakash Industries Limited,Iron & Steel
PRAKASHSTL,Prakash Steelage Limited,Steel (Stainless Steel)
PRAXIS,Praxis Home Retail Limited,Retail
PRECAM,Precision Camshafts Limited,Auto Ancillaries
PRECOT,Precot Limited,Textiles
PRECWIRE,Precision Wires India Limited,Engineering / Copper Wires
PREMEXPLN,Premier Explosives Limited,Chemicals (Explosives)
PREMIER,Premier Limited,Engineering / Auto
PREMIERENE,Premier Energies Limited,Renewable Energy (Solar)
PREMIERPOL,Premier Polyfilm Limited,Plastic Products
PRESTIGE,Prestige Estates Projects Limited,Real Estate
PRICOLLTD,Pricol Limited,Auto Ancillaries
PRIMESECU,Prime Securities Limited,Finance / Investment Banking
PRIMO,Primo Chemicals Limited,Chemicals
PRINCEPIPE,Prince Pipes And Fittings Limited,Plastic Products (Pipes)
PRITI,Priti International Limited,Furniture / Home Decor
PRITIKAUTO,Pritika Auto Industries Limited,Auto Ancillaries (Castings)
PRIVISCL,Privi Speciality Chemicals Limited,Chemicals (Flavours/Fragrances)
PROSTARM,Prostarm Info Systems Limited,IT / Power Electronics
PROTEAN,Protean eGov Technologies Limited,IT Enabled Services (E-Gov)
PROZONER,Prozone Realty Limited,Real Estate (Retail/Malls)
PRSMJOHNSN,Prism Johnson Limited,Building Materials (Cement/Tiles)
PRUDENT,Prudent Corporate Advisory Services Limited,Finance (Wealth Management)
PRUDMOULI,Prudential Sugar Corporation Limited,FMCG (Sugar)
PSB,Punjab & Sind Bank,Banking (Public Sector)
PSPPROJECT,PSP Projects Limited,Construction & Infrastructure
PTC,PTC India Limited,Power Trading
PTCIL,PTC Industries Limited,Engineering & Metal Components
PTL,PTL Enterprises Limited,Tyres (Holding Company)
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,Agrochemicals
PURVA,Puravankara Limited,Real Estate
PVP,PVP Ventures Limited,Real Estate & Investments
PVRINOX,PVR INOX Limited,Media & Entertainment
PVSL,Popular Vehicles and Services Limited,Auto Dealerships
PWL,Physicswallah Limited,EdTech
PYRAMID,Pyramid Technoplast Limited,Industrial Packaging
QPOWER,Quality Power Electrical Equipments Limited,Electrical Equipment
QUADFUTURE,Quadrant Future Tek Limited,Research & Development
QUESS,Quess Corp Limited,Staffing & Business Services
QUICKHEAL,Quick Heal Technologies Limited,Cybersecurity Software
RACE,Race Eco Chain Limited,Waste Management
RACLGEAR,RACL Geartech Limited,Auto Components
RADAAN,Radaan Mediaworks India Limited,Media Production
RADHIKAJWE,Radhika Jeweltech Limited,Gems & Jewelry
RADIANTCMS,Radiant Cash Management Services Limited,Financial Logistics
RADICO,Radico Khaitan Limited,Beverages (Distillery)
RADIOCITY,Music Broadcast Limited,Media (Radio)
RAILTEL,Railtel Corporation Of India Limited,Telecom Infrastructure
RAIN,Rain Industries Limited,Carbon & Chemicals
RAINBOW,Rainbow Childrens Medicare Limited,Healthcare
RAJESHEXPO,Rajesh Exports Limited,Gems & Jewelry
RAJMET,Rajnandini Metal Limited,Iron & Steel
RAJOOENG,Rajoo Engineers Limited,Industrial Machinery
RAJRATAN,Rajratan Global Wire Limited,Steel Wires
RAJRILTD,Raj Rayon Industries Limited,Textiles
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Sugar
RAJTV,Raj Television Network Limited,Media & Broadcasting
RALLIS,Rallis India Limited,Agrochemicals
RAMANEWS,Shree Rama Newsprint Limited,Paper
RAMAPHO,Rama Phosphates Limited,Fertilizers
RAMASTEEL,Rama Steel Tubes Limited,Steel Pipes
RAMCOCEM,The Ramco Cements Limited,Cement
RAMCOIND,Ramco Industries Limited,Building Materials
RAMCOSYS,Ramco Systems Limited,IT Software (ERP)
RAMKY,Ramky Infrastructure Limited,Construction & EPC
RAMRAT,Ram Ratna Wires Limited,Electrical Wires
RANASUG,Rana Sugars Limited,Sugar
RANEHOLDIN,Rane Holdings Limited,Auto Components
RATEGAIN,Rategain Travel Technologies Limited,SaaS / Travel Tech
RATNAMANI,Ratnamani Metals & Tubes Limited,Steel Pipes
RATNAVEER,Ratnaveer Precision Engineering Limited,Stainless Steel
RAYMOND,Raymond Limited,Textiles & Apparel
RAYMONDLSL,Raymond Lifestyle Limited,Fashion Retail
RAYMONDREL,Raymond Realty Limited,Real Estate
RBA,Restaurant Brands Asia Limited,Quick Service Restaurants
RBLBANK,RBL Bank Limited,Banking
RBZJEWEL,RBZ Jewellers Limited,Gems & Jewelry
RCF,Rashtriya Chemicals and Fertilizers Limited,Fertilizers
RCOM,Reliance Communications Limited,Telecommunications
RECLTD,REC Limited,Financial Services
REDINGTON,Redington Limited,IT Hardware Distribution
REDTAPE,Redtape Limited,Footwear & Apparel
REFEX,Refex Industries Limited,Industrial Gases
REGAAL,Regaal Resources Limited,Agro-processing
REGENCERAM,Regency Ceramics Limited,Building Materials
RELAXO,Relaxo Footwears Limited,Consumer Durables
RELCHEMQ,Reliance Chemotex Industries Limited,Textiles
RELIABLE,Reliable Data Services Limited,Information Technology
RELIANCE,Reliance Industries Limited,Oil Gas & Consumable Fuels
RELIGARE,Religare Enterprises Limited,Financial Services
RELINFRA,Reliance Infrastructure Limited,Power
RELTD,Ravindra Energy Limited,Power
REMSONSIND,Remsons Industries Limited,Auto Components
RENUKA,Shree Renuka Sugars Limited,Food Products
REPCOHOME,Repco Home Finance Limited,Financial Services
REPL,Rudrabhishek Enterprises Limited,Construction
REPRO,Repro India Limited,Commercial Services
RESPONIND,Responsive Industries Limited,Plastics Products
RETAIL,JHS Svendgaard Retail Ventures Limited,Personal Products
RGL,Renaissance Global Limited,Gems Jewellery
RHETAN,Rhetan TMT Limited,Metals & Mining
RHFL,Reliance Home Finance Limited,Financial Services
RHIM,RHI MAGNESITA INDIA LIMITED,Capital Goods
RHL,Robust Hotels Limited,Hospitality
RICOAUTO,Rico Auto Industries Limited,Auto Components
RIIL,Reliance Industrial Infrastructure Limited,Transport Infrastructure
RISHABH,Rishabh Instruments Limited,Capital Goods
RITCO,Ritco Logistics Limited,Logistics
RITES,RITES Limited,Transport Infrastructure
RKDL,Ravi Kumar Distilleries Limited,Beverages
RKEC,RKEC Projects Limited,Construction
RKFORGE,Ramkrishna Forgings Limited,Auto Components
RKSWAMY,R K Swamy Limited,Media & Entertainment
RMDRIP,R M Drip and Sprinklers Systems Limited,Capital Goods
RML,Rane (Madras) Limited,Auto Components
RNBDENIMS,R&B Denims Limited,Textiles
ROHLTD,Royal Orchid Hotels Limited,Hospitality
ROLEXRINGS,Rolex Rings Limited,Auto Components
ROLLT,Rollatainers Limited,Packaging
ROML,Raj Oil Mills Limited,Food Products
ROSSARI,Rossari Biotech Limited,Chemicals
ROSSELLIND,Rossell India Limited,Diversified
ROSSTECH,Rossell Techsys Limited,Aerospace & Defense
ROTO,Roto Pumps Limited,Capital Goods
ROUTE,ROUTE MOBILE LIMITED,Telecom Services
RPEL,Raghav Productivity Enhancers Limited,Chemicals
RPGLIFE,RPG Life Sciences Limited,Healthcare
RPOWER,Reliance Power Limited,Power
RPPINFRA,R.P.P. Infra Projects Limited,Construction
RPPL,Rajshree Polypack Limited,Packaging
RPSGVENT,RPSG VENTURES LIMITED,Diversified
RPTECH,Rashi Peripherals Limited,Information Technology
RRKABEL,R R Kabel Limited,Capital Goods
RSSOFTWARE,R. S. Software (India) Limited,Information Technology
RSWM,RSWM Limited,Textiles
RSYSTEMS,R Systems International Limited,Information Technology
RTNINDIA,RattanIndia Enterprises Limited,Diversified
RTNPOWER,RattanIndia Power Limited,Power
RUBFILA,Rubfila International Limited,Chemicals
RUBICON,Rubicon Research Limited,Healthcare
RUBYMILLS,The Ruby Mills Limited,Textiles
RUCHINFRA,Ruchi Infrastructure Limited,Oil & Gas
RUCHIRA,Ruchira Papers Limited,Paper
RUDRA,Rudra Global Infra Products Limited,Metals & Mining
RUPA,Rupa & Company Limited,Textiles
RUSHIL,Rushil Decor Limited,Building Materials
RUSTOMJEE,Keystone Realtors Limited,Realty
RVHL,Ravinder Heights Limited,Realty
RVNL,Rail Vikas Nigam Limited,Transport Infrastructure
RVTH,Revathi Equipment India Limited,Capital Goods
S&SPOWER,S&S Power Switchgears Limited,Capital Goods
SAATVIKGL,Saatvik Green Energy Limited,Power
SABEVENTS,Sab Events & Governance Now Media Limited,Media & Entertainment
SADBHAV,Sadbhav Engineering Limited,Construction
SADBHIN,Sadbhav Infrastructure Project Limited,Transport Infrastructure
SADHNANIQ,Sadhana Nitrochem Limited,Chemicals
SAFARI,Safari Industries (India) Limited,Consumer Durables
SAGARDEEP,Sagardeep Alloys Limited,Metals & Mining
SAGCEM,Sagar Cements Limited,Cement & Cement Products
SAGILITY,SAGILITY LIMITED,Healthcare
SAHYADRI,Sahyadri Industries Limited,Building Materials
SAIL,Steel Authority of India Limited,Metals & Mining
SAILIFE,Sai Life Sciences Limited,Healthcare
SAKAR,Sakar Healthcare Limited,Healthcare
SAKHTISUG,Sakthi Sugars Limited,Food Products
SAKSOFT,Saksoft Limited,Information Technology
SAKUMA,Sakuma Exports Limited,Diversified / Industrial
SALASAR,Salasar Techno Engineering Limited,Information Technology
SALONA,Salona Cotspin Limited,Textiles
SALSTEEL,S.A.L. Steel Limited,Metals & Mining
SALZERELEC,Salzer Electronics Limited,Diversified / Industrial
SAMBHAAV,Sambhaav Media Limited,Media & Entertainment
SAMBHV,Sambhv Steel Tubes Limited,Metals & Mining
SAMHI,Samhi Hotels Limited,Hospitality
SAMMAANCAP,Sammaan Capital Limited,Diversified / Industrial
SAMPANN,Sampann Utpadan India Limited,Diversified / Industrial
SANATHAN,Sanathan Textiles Limited,Textiles
SANCO,Sanco Industries Limited,Diversified / Industrial
SANDESH,The Sandesh Limited,Diversified / Industrial
SANDHAR,Sandhar Technologies Limited,Information Technology
SANDUMA,Sandur Manganese & Iron Ores Limited,Diversified / Industrial
SANGAMIND,Sangam (India) Limited,Diversified / Industrial
SANGHIIND,Sanghi Industries Limited,Diversified / Industrial
SANGHVIMOV,Sanghvi Movers Limited,Diversified / Industrial
SANGINITA,Sanginita Chemicals Limited,Chemicals
SANOFI,Sanofi India Limited,Pharmaceuticals
SANOFICONR,Sanofi Consumer Healthcare India Limited,Pharmaceuticals
SANSERA,Sansera Engineering Limited,Diversified / Industrial
SANSTAR,Sanstar Limited,Diversified / Industrial
SANWARIA,Sanwaria Consumer Limited,Diversified / Industrial
SAPPHIRE,Sapphire Foods India Limited,Food & Consumer
SARDAEN,Sarda Energy & Minerals Limited,Power & Energy
SAREGAMA,Saregama India Limited,Diversified / Industrial
SARLAPOLY,Sarla Performance Fibers Limited,Diversified / Industrial
SARVESHWAR,Sarveshwar Foods Limited,Food & Consumer
SASKEN,Sasken Technologies Limited,Information Technology
SASTASUNDR,Sastasundar Ventures Limited,Diversified / Industrial
SATIA,Satia Industries Limited,Diversified / Industrial
SATIN,Satin Creditcare Network Limited,Financial Services
SAURASHCEM,Saurashtra Cement Limited,Cement
SBC,SBC Exports Limited,Diversified / Industrial
SBCL,Shivalik Bimetal Controls Limited,Metals & Mining
SBFC,SBFC Finance Limited,Financial Services
SBGLP,Suratwwala Business Group Limited,Diversified / Industrial
SBICARD,SBI Cards and Payment Services Limited,Diversified / Industrial
SBILIFE,SBI Life Insurance Company Limited,Insurance
SBIN,State Bank of India,Banking
SCHAEFFLER,Schaeffler India Limited,Diversified / Industrial
SCHAND,S Chand And Company Limited,Diversified / Industrial
SCHNEIDER,Schneider Electric Infrastructure Limited,Infrastructure
SCI,Shipping Corporation Of India Limited,Logistics
SCILAL,Shipping Corporation of India Land and Assets Limited,Logistics
SCODATUBES,Scoda Tubes Limited,Diversified / Industrial
SCPL,Sheetal Cool Products Limited,Diversified / Industrial
SDBL,Som Distilleries & Breweries Limited,Diversified / Industrial
SEAMECLTD,Seamec Limited,Diversified / Industrial
SECMARK,SecMark Consultancy Limited,Diversified / Industrial
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,Information Technology
SEJALLTD,Sejal Glass Limited,Diversified / Industrial
SELMC,SEL Manufacturing Company Limited,Diversified / Industrial
SEMAC,Semac Construction Limited,Infrastructure
SENCO,Senco Gold Limited,Diversified / Industrial
SENORES,Senores Pharmaceuticals Limited,Pharmaceuticals
SEPC,SEPC Limited,Diversified / Industrial
SERVOTECH,Servotech Renewable Power System Limited,Information Technology
SESHAPAPER,Seshasayee Paper and Boards Limited,Diversified / Industrial
SETCO,Setco Automotive Limited,Automobile Components
SETL,Standard Engineering Technology Limited,Information Technology
SETUINFRA,Setubandhan Infrastructure Limited,Infrastructure
SEYAIND,Seya Industries Limited,Diversified / Industrial
SFL,Sheela Foam Limited,Diversified / Industrial
SGFIN,SG Finserve Limited,Financial Services
SGIL,Synergy Green Industries Limited,Diversified / Industrial
SGL,STL Global Limited,Diversified / Industrial
SGMART,SG Mart Limited,Retail
SHADOWFAX,Shadowfax Technologies Limited,Information Technology
SHAH,Shah Metacorp Limited,Diversified / Industrial
SHAHALLOYS,Shah Alloys Limited,Metals & Mining
SHAILY,Shaily Engineering Plastics Limited,Diversified / Industrial
SHAKTIPUMP,Shakti Pumps (India) Limited,Diversified / Industrial
SHALBY,Shalby Limited,Diversified / Industrial
SHALPAINTS,Shalimar Paints Limited,Paints & Chemicals
SHANKARA,Shankara Building Products Limited,Diversified / Industrial
SHANTI,Shanti Overseas (India) Limited,Diversified / Industrial
SHANTIGEAR,Shanthi Gears Limited,Diversified / Industrial
SHANTIGOLD,Shanti Gold International Limited,Diversified / Industrial
SHARDACROP,Sharda Cropchem Limited,Diversified / Industrial
SHARDAMOTR,Sharda Motor Industries Limited,Diversified / Industrial
SHAREINDIA,Share India Securities Limited,Financial Services
SHEKHAWATI,Shekhawati Industries Limited,Diversified / Industrial
SHEMAROO,Shemaroo Entertainment Limited,Media & Entertainment
SHILCTECH,Shilchar Technologies Limited,Information Technology
SHILPAMED,Shilpa Medicare Limited,Pharmaceuticals
SHIVALIK,Shivalik Rasayan Limited,Diversified / Industrial
SHIVAMAUTO,Shivam Autotech Limited,Information Technology
SHIVAMILLS,Shiva Mills Limited,Diversified / Industrial
SHIVATEX,Shiva Texyarn Limited,Diversified / Industrial
SHIVAUM,Shiv Aum Steels Limited,Metals & Mining
SHK,S H Kelkar and Company Limited,Diversified / Industrial
SHOPERSTOP,Shoppers Stop Limited,Retail
SHRADHA,Shradha Infraprojects Limited,Infrastructure
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,Cement
SHREECEM,SHREE CEMENT LIMITED,Cement
SHREEJISPG,Shreeji Shipping Global Limited,Logistics
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Chemicals
SHREERAMA,Shree Rama Multi-Tech Limited,Information Technology
SHRENIK,Shrenik Limited,Diversified / Industrial
SHREYANIND,Shreyans Industries Limited,Diversified / Industrial
SHRINGARMS,Shringar House of Mangalsutra Limited,Diversified / Industrial
SHRIPISTON,Shriram Pistons & Rings Limited,Diversified / Industrial
SHRIRAMFIN,Shriram Finance Limited,Financial Services
SHRIRAMPPS,Shriram Properties Limited,Real Estate
SHYAMCENT,Shyam Century Ferrous Limited,Metals & Mining
SHYAMMETL,Shyam Metalics and Energy Limited,Metals & Mining
SHYAMTEL,Shyam Telecom Limited,Diversified / Industrial
SICALLOG,Sical Logistics Limited,Logistics
SIEMENS,Siemens Limited,Diversified / Industrial
SIGACHI,Sigachi Industries Limited,Diversified / Industrial
SIGIND,Signet Industries Limited,Diversified / Industrial
SIGMA,Sigma Solve Limited,Diversified / Industrial
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,Diversified / Industrial
SIGNATURE,Signatureglobal (India) Limited,Diversified / Industrial
SIGNPOST,Signpost India Limited,Diversified / Industrial
SIKKO,Sikko Industries Limited,Diversified / Industrial
SIL,Standard Industries Limited,Diversified / Industrial
SILGO,Silgo Retail Limited,Retail
SILINV,SIL Investments Limited,Diversified / Industrial
SILLYMONKS,Silly Monks Entertainment Limited,Media & Entertainment
SILVERTUC,Silver Touch Technologies Limited,Information Technology
SIMBHALS,Simbhaoli Sugars Limited,Food & Consumer
SIMPLEXINF,Simplex Infrastructures Limited,Infrastructure
SINCLAIR,Sinclairs Hotels Limited,Hospitality
SINDHUTRAD,Sindhu Trade Links Limited,Diversified / Industrial
SINTERCOM,Sintercom India Limited,Diversified / Industrial
SIRCA,Sirca Paints India Limited,Paints & Chemicals
SIS,SIS LIMITED,Diversified / Industrial
SITINET,Siti Networks Limited,Media & Entertainment
SIYSIL,Siyaram Silk Mills Limited,Textiles
SJS,S.J.S. Enterprises Limited,Diversified / Industrial
